Unit code,Geological unit,Mapped lithology,Model area (km2),Share of model area (%),Low thermal conductivity (W m-1 K-1),Representative thermal conductivity (W m-1 K-1),High thermal conductivity (W m-1 K-1),Density (kg m-3),Specific heat capacity (J kg-1 K-1),Volumetric heat capacity (J m-3 K-1),Source
PYL,Plymouth Limestone Formation,"Pyroclastic Rock, Basaltic",0.03,0.0,1.8,2.2,2.5,2730,850,2321000,BGS OR/25/014 Appendix 1: Devonian tuff 2.20 W/mK; Carboniferous mafic tuff 2.50 W/mK
SAH,Saltash Formation,Limestone,0.01,0.0,2.7,3.0,3.2,2680,890,2385000,"BGS OR/25/014 Appendix 1: Devonian limestone 3.00 W/mK, density 2680 kg/m3, specific heat 890 J/kgK; Rollin limestone 3.14 W/mK"
SAH,Saltash Formation,Slate,0.02,0.0,2.2,2.69,2.9,2650,900,2385000,Rollin 1987 Table 3: Southwest England slate 2.69 W/mK from 206 samples
UIIDC,"Unnamed Igneous Intrusion, Devonian To Carboniferous",Gabbro,0.01,0.0,2.4,2.4,3.0,2930,880,2578000,"Hyndman and Drury, DSDP Leg 37: gabbro 2.40 W/mK; BGS OR/25/014: coarse basic rock 3.00 W/mK"
UDVS,Upper Devonian Slates,Basaltic Rock,0.01,0.0,1.6,1.8,2.3,2750,950,2612000,BGS OR/25/014 Appendix 1: Devonian lava/extrusive rock 1.80 W/mK; Rollin 1987: UK extrusive basalt 1.80 W/mK
TPT,Torpoint Formation,Limestone,0.01,0.0,2.7,3.0,3.2,2680,890,2385000,"BGS OR/25/014 Appendix 1: Devonian limestone 3.00 W/mK, density 2680 kg/m3, specific heat 890 J/kgK; Rollin limestone 3.14 W/mK"
TPT,Torpoint Formation,Hyaloclastite,0.01,0.0,2.5,2.6,2.75,2550,900,2295000,Scott et al. 2023 Valgardur database: two water-saturated hyaloclastite samples 2.50-2.75 W/mK
PYL,Plymouth Limestone Formation,Hyaloclastite,0.0,0.0,2.5,2.6,2.75,2550,900,2295000,Scott et al. 2023 Valgardur database: two water-saturated hyaloclastite samples 2.50-2.75 W/mK
PYL,Plymouth Limestone Formation,"Lava, Basalt",0.0,0.0,1.6,1.8,2.2,2750,950,2612000,BGS OR/25/014 Appendix 1: Devonian lava/extrusive rock 1.80 W/mK; Rollin 1987: extrusive basalt 1.80 W/mK
LDEV,Lower Devonian Rocks (Undifferentiated),"Sandstone and [subequal/Subordinate] Argillaceous Rocks, Interbedded",0.0,0.0,2.5,2.82,3.1,2450,840,2058000,"BGS OR/25/014 Appendix 1: Devonian sandstone and subordinate argillaceous rocks, interbedded, 2.82 W/mK"
